epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.8387683033943176,0.9149854779243469,0.37171241641044617,0.001,0.6424724459648132,0.7317147850990295,1.6030936241149902
1,0.8744120001792908,0.9453689455986023,0.2986481487751007,0.001,0.715077817440033,0.9061676263809204,0.7998132109642029
2,0.8947051763534546,0.9590619206428528,0.25832077860832214,0.001,0.8843767642974854,0.9489587545394897,0.28748682141304016
3,0.907788872718811,0.9662998914718628,0.23300206661224365,0.001,0.8034541606903076,0.9115601778030396,0.46417203545570374
4,0.9170435070991516,0.9712805151939392,0.21441762149333954,0.001,0.8880354762077332,0.9552981853485107,0.2724176049232483
5,0.9217532277107239,0.9743208885192871,0.20227251946926117,0.001,0.7070332765579224,0.9097602367401123,0.8157588839530945
6,0.9271730780601501,0.9768878221511841,0.19112800061702728,0.001,0.8367912769317627,0.953994870185852,0.387099027633667
7,0.9380127191543579,0.9825399518013,0.16562116146087646,0.00020000001,0.8871037364006042,0.9708487391471863,0.2775379419326782
8,0.9399102330207825,0.9834826588630676,0.16049815714359283,0.00020000001,0.9041472673416138,0.9762141108512878,0.2412523329257965
9,0.9416657090187073,0.9840340614318848,0.15725477039813995,0.00020000001,0.8099988698959351,0.926466166973114,0.5611125826835632
10,0.9424042701721191,0.9843305945396423,0.15558664500713348,0.00020000001,0.9142824411392212,0.9713821411132812,0.21871204674243927
11,0.9429155588150024,0.9849951863288879,0.15280336141586304,0.00020000001,0.8254289031028748,0.9435943961143494,0.5123822093009949
